"DSID","PhysicsShort","CoMEnergy","XSec","FiltEff","kFactor","Uncertainty","Events","GenEvents","GenName","GenTune","PDF","Keywords","PhysComment","Release","Filters","JobOptions","HEPMC"
"300005","Pythia8B_AU2_CTEQ6L1_JpsimumuWmunu","13000.0","2.1528","1.0","1.0","0.0","600000","870000","Pythia8B","A14 CTEQ6L1","NULL","2muon, Baseline, charmonium, jpsi, w","pp->Jpsi(mumu) + W->munu via second hard process","AtlasProduction_19.2.5.19","","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID300xxx/MC15.300005.Pythia8B_AU2_CTEQ6L1_JpsimumuWmunu.py","2"
"302520","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_55_100","13000.0","85.503","0.42178","1.0","0.0","10000000","12806500","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 55&lt;Mgg&lt;100 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302520.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_55_100.py","2"
"302521","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_100_160","13000.0","18.282","0.44191","1.0","0.0","2260000","12803500","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 100&lt;Mgg&lt;160 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302521.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_100_160.py","2"
"302522","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_160_250","13000.0","5.0280000000000005","0.42736","1.0","0.0","600000","12804500","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 160&lt;Mgg&lt;250 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302522.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_160_250.py","2"
"302523","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_250_400","13000.0","1.4436","0.4076254","1.0","0.0","160000","7319000","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 250&lt;Mgg&lt;400 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302523.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_250_400.py","2"
"302524","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_400_650","13000.0","0.3543","0.38689","1.0","0.0","40000","7318000","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 400&lt;Mgg&lt;650 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302524.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_400_650.py","2"
"302525","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_650_1000","13000.0","0.069134","0.36991","1.0","0.0","10000","7318000","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 650&lt;Mgg&lt;1000 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302525.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_650_1000.py","2"
"302526","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_1000_1500","13000.0","0.014192000000000001","0.35436","1.0","0.0","10000","3660000","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 1000&lt;Mgg&lt;1500 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302526.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_1000_1500.py","2"
"302527","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_1500_2000","13000.0","0.0023204","0.33749","1.0","0.0","10000","3658500","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 1500&lt;Mgg&lt;2000 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302527.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_1500_2000.py","2"
"302528","Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_2000_2500","13000.0","0.000538","0.3221617","1.0","0.0","10000","3659500","Pythia8(v8.186)+EvtGen(v1.2.0)","A14 NNPDF23LO","NULL","Baseline, diphoton, egamma, sm","Pythia8 diphoton sample. gammagamma events with at least two photons with pT > 20 GeV, with mass cut 2000&lt;Mgg&lt;2500 GeV","AtlasProduction_19.2.4.2","DirectPhotonFilter","https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/blob/master/share/DSID302xxx/MC15.302528.Pythia8EvtGen_A14NNPDF23LO_2DP20_Mass_2000_2500.py","2"
